http://112.109.206.183:9999/rtp/239.255.40.156:8208,# 0.16MB/s | 1542ms
http://123.118.56.249:8686/rtp/239.3.1.133:8016,# 0.16MB/s | 1543ms
http://39.77.162.237:4002/rtp/239.253.254.103:8000,# 0.16MB/s | 1543ms
http://39.77.162.237:4002/rtp/239.253.254.117:8000,# 0.16MB/s | 1543ms
http://112.109.206.183:9999/rtp/239.255.40.50:8208,# 0.16MB/s | 1544ms
http://171.8.105.158:8800/rtp/239.16.10.157:2000,# 0.16MB/s | 1544ms
http://123.118.56.249:8686/rtp/239.3.1.100:8001,# 0.16MB/s | 1544ms
http://112.109.206.183:9999/rtp/239.255.40.11:8208,# 0.16MB/s | 1546ms
http://123.118.56.249:8686/rtp/239.3.1.105:8092,# 0.16MB/s | 1546ms
http://112.109.206.183:9999/rtp/239.255.40.106:8208,# 0.16MB/s | 1547ms
http://39.77.162.237:4002/rtp/239.253.254.101:8000,# 0.16MB/s | 1547ms
http://123.118.56.249:8686/rtp/239.3.1.156:8148,# 0.16MB/s | 1548ms
http://112.109.206.183:9999/rtp/239.255.40.24:8208,# 0.16MB/s | 1548ms
http://171.8.84.159:8800/rtp/239.16.20.235:12350,# 0.16MB/s | 1548ms
http://123.118.56.249:8686/rtp/239.3.1.122:8160,# 0.16MB/s | 1548ms
http://171.8.84.159:8800/rtp/239.16.20.81:10810,# 0.16MB/s | 1551ms
http://123.118.56.249:8686/rtp/239.3.1.137:8036,# 0.16MB/s | 1551ms
http://123.118.56.249:8686/rtp/239.3.1.151:8144,# 0.16MB/s | 1551ms
http://112.109.206.183:9999/rtp/239.255.40.14:8208,# 0.16MB/s | 1552ms
http://123.118.56.249:8686/rtp/239.3.1.136:8032,# 0.16MB/s | 1552ms
http://171.8.84.159:8800/rtp/239.16.20.21:10210,# 0.16MB/s | 1553ms
http://218.86.184.61:8188/rtp/238.255.2.157:5999,# 0.16MB/s | 1554ms
http://60.4.30.55:8077/rtp/239.253.92.137:6144,# 0.16MB/s | 1554ms
http://112.109.206.183:9999/rtp/239.255.40.13:8208,# 0.16MB/s | 1556ms
http://123.118.56.249:8686/rtp/239.3.1.128:8001,# 0.16MB/s | 1556ms
http://112.109.206.183:9999/rtp/239.255.40.23:8208,# 0.16MB/s | 1556ms
http://112.109.206.183:9999/rtp/239.255.40.171:8208,# 0.16MB/s | 1558ms
http://112.109.206.183:9999/rtp/239.255.40.3:8208,# 0.16MB/s | 1558ms
http://114.226.212.148:8787/rtp/239.49.8.122:8000,# 0.16MB/s | 1559ms
http://123.118.56.249:8686/rtp/239.3.1.124:8128,# 0.16MB/s | 1559ms
http://123.118.56.249:8686/rtp/239.3.1.213:4220,# 0.16MB/s | 1559ms
http://171.8.105.158:8800/rtp/239.16.20.13:10130,# 0.16MB/s | 1560ms
http://112.109.206.183:9999/rtp/239.255.40.48:8208,# 0.16MB/s | 1560ms
http://112.109.206.183:9999/rtp/239.255.40.36:8208,# 0.16MB/s | 1561ms
http://218.86.184.61:8188/rtp/238.255.2.115:5999,# 0.16MB/s | 1562ms
http://123.118.56.249:8686/rtp/239.3.1.115:8000,# 0.16MB/s | 1562ms
http://171.8.84.159:8800/rtp/239.16.10.169:2000,# 0.16MB/s | 1563ms
http://114.226.212.147:8787/rtp/239.49.8.17:9606,# 0.16MB/s | 1563ms
http://112.109.206.183:9999/rtp/239.255.40.198:8208,# 0.16MB/s | 1564ms
http://218.86.184.61:8188/rtp/238.255.2.19:5999,# 0.16MB/s | 1565ms
http://123.118.56.249:8686/rtp/239.3.1.123:8164,# 0.16MB/s | 1565ms
http://123.118.56.249:8686/rtp/239.3.1.172:8001,# 0.16MB/s | 1566ms
http://115.171.216.46:4000/rtp/225.1.8.128:8002,# 0.16MB/s | 1566ms
http://60.4.30.55:8077/rtp/239.253.93.252:6430,# 0.16MB/s | 1568ms
http://124.112.189.152:4022/rtp/238.1.78.240:7792,# 0.16MB/s | 1568ms
http://112.109.206.183:9999/rtp/239.255.40.19:8208,# 0.16MB/s | 1568ms
http://171.8.84.159:8800/rtp/239.16.20.87:10870,# 0.16MB/s | 1569ms
http://123.118.56.249:8686/rtp/239.3.1.149:8076,# 0.16MB/s | 1571ms
http://112.109.206.183:9999/rtp/239.255.40.149:8208,# 0.16MB/s | 1571ms
http://112.109.206.183:9999/rtp/239.255.40.34:8208,# 0.16MB/s | 1572ms
http://60.4.30.55:8077/rtp/239.253.92.198:6063,# 0.16MB/s | 1572ms
http://218.86.184.61:8188/rtp/238.255.2.106:5999,# 0.16MB/s | 1573ms
http://223.198.240.143:4000/rtp/239.253.64.115:5140,# 0.16MB/s | 1575ms
http://123.118.56.249:8686/rtp/239.3.1.135:8028,# 0.16MB/s | 1577ms
http://112.109.206.183:9999/rtp/239.255.40.202:8208,# 0.16MB/s | 1577ms
http://112.192.73.60:8484/rtp/239.0.0.53:5140,# 0.16MB/s | 1579ms
http://124.112.240.142:4022/rtp/238.1.78.100:6672,# 0.16MB/s | 1580ms
http://218.86.184.61:8188/rtp/238.255.2.101:5999,# 0.16MB/s | 1580ms
http://60.4.30.55:8077/rtp/239.253.92.193:6058,# 0.16MB/s | 1580ms
http://39.77.162.237:4002/rtp/239.253.254.112:8000,# 0.16MB/s | 1581ms
http://112.109.206.183:9999/rtp/239.255.40.39:8208,# 0.16MB/s | 1582ms
http://112.109.206.183:9999/rtp/239.255.40.42:8208,# 0.16MB/s | 1583ms
http://114.226.212.149:8787/rtp/239.49.8.53:9814,# 0.16MB/s | 1583ms
http://114.226.212.147:8787/rtp/239.49.8.107:8000,# 0.16MB/s | 1583ms
http://218.86.184.61:8188/rtp/238.255.2.1:5999,# 0.16MB/s | 1584ms
http://171.8.105.158:8800/rtp/239.16.20.216:12160,# 0.16MB/s | 1585ms
http://60.4.30.55:8077/rtp/239.253.92.76:8043,# 0.16MB/s | 1585ms
http://112.109.206.183:9999/rtp/239.255.40.51:8208,# 0.16MB/s | 1585ms
http://123.118.56.249:8686/rtp/239.3.1.134:8020,# 0.16MB/s | 1585ms
http://39.77.162.237:4002/rtp/239.253.254.111:8000,# 0.16MB/s | 1587ms
http://60.4.30.55:8077/rtp/239.253.92.251:6141,# 0.16MB/s | 1588ms
http://124.112.189.152:4022/rtp/238.1.78.206:7502,# 0.16MB/s | 1588ms
http://123.118.56.249:8686/rtp/239.3.1.158:8000,# 0.16MB/s | 1588ms
http://171.8.84.159:8800/rtp/239.16.10.49:2000,# 0.16MB/s | 1589ms
http://218.86.184.61:8188/rtp/238.255.2.18:5999,# 0.16MB/s | 1589ms
http://42.237.212.27:4022/rtp/225.1.4.100:1129,# 0.16MB/s | 1589ms
http://171.8.84.159:8800/rtp/239.16.20.82:10820,# 0.16MB/s | 1590ms
http://123.118.56.249:8686/rtp/239.3.1.126:8001,# 0.16MB/s | 1590ms
http://171.8.84.159:8800/rtp/239.16.20.63:10630,# 0.16MB/s | 1590ms
http://171.8.84.159:8800/rtp/239.16.20.20:10200,# 0.16MB/s | 1590ms
http://171.8.105.158:8800/rtp/239.16.20.102:11020,# 0.16MB/s | 1590ms
http://171.8.84.159:8800/rtp/239.16.20.165:11650,# 0.16MB/s | 1591ms
http://60.4.30.55:8077/rtp/239.253.93.13:6166,# 0.16MB/s | 1591ms
http://60.4.30.55:8077/rtp/239.253.93.251:6429,# 0.16MB/s | 1592ms
http://218.86.184.61:8188/rtp/238.255.2.78:5999,# 0.16MB/s | 1592ms
http://114.226.212.148:8787/rtp/239.49.8.130:6000,# 0.16MB/s | 1593ms
http://218.86.184.61:8188/rtp/238.255.2.213:5999,# 0.16MB/s | 1594ms
http://114.226.212.149:8787/rtp/239.49.8.16:9602,# 0.16MB/s | 1594ms
http://218.86.184.61:8188/rtp/238.255.2.102:5999,# 0.16MB/s | 1594ms
http://171.8.84.159:8800/rtp/239.16.10.155:2000,# 0.16MB/s | 1595ms
http://171.8.84.159:8800/rtp/239.16.10.179:2000,# 0.16MB/s | 1595ms
http://171.8.84.159:8800/rtp/239.16.20.74:10740,# 0.16MB/s | 1595ms
http://171.8.105.158:8800/rtp/239.16.20.104:11040,# 0.16MB/s | 1596ms
http://124.112.189.152:4022/rtp/238.1.78.100:6672,# 0.16MB/s | 1596ms
http://114.226.212.147:8787/rtp/239.49.8.8:9632,# 0.16MB/s | 1597ms
http://171.8.84.159:8800/rtp/239.16.20.197:11970,# 0.16MB/s | 1598ms
http://171.8.84.159:8800/rtp/239.16.20.122:11220,# 0.16MB/s | 1598ms
http://171.8.84.159:8800/rtp/239.16.20.98:10980,# 0.16MB/s | 1598ms
http://218.86.184.61:8188/rtp/238.255.2.63:5999,# 0.16MB/s | 1599ms
http://171.8.84.159:8800/rtp/239.16.20.15:10150,# 0.16MB/s | 1599ms
http://171.8.84.159:8800/rtp/239.16.10.60:2000,# 0.16MB/s | 1600ms
http://171.8.105.158:8800/rtp/239.16.20.10:10100,# 0.16MB/s | 1600ms
http://171.8.84.159:8800/rtp/239.16.20.101:11010,# 0.16MB/s | 1600ms
http://112.109.206.183:9999/rtp/239.255.40.143:8208,# 0.16MB/s | 1601ms
http://123.118.56.249:8686/rtp/239.3.1.148:8072,# 0.16MB/s | 1602ms
http://112.109.206.183:9999/rtp/239.255.40.16:8208,# 0.16MB/s | 1602ms
http://49.77.31.239:8554/rtp/239.49.0.26:8200,# 0.16MB/s | 1603ms
http://218.86.184.61:8188/rtp/238.255.2.210:5999,# 0.16MB/s | 1603ms
http://171.8.84.159:8800/rtp/239.16.20.151:11510,# 0.16MB/s | 1603ms
